sample_id,treatment,hpf,parent_1,parent_2,date,n_embryos,n_typical,n_malformed,n_uncertain,prop_typical,prop_malformed,prop_uncertain,n_egg,prop_egg,n_cleavage,prop_cleavage,n_morula,prop_morula,n_prawnchip,prop_prawnchip,n_earlygastrula,prop_earlygastrula,n_earlygastrula_typical,n_earlygastrula_uncertain,n_earlygastrula_malformed,n_egg_typical,n_cleavage_typical,n_morula_typical,n_prawnchip_typical,n_prawnchip_uncertain,n_prawnchip_malformed,n_cleavage_malformed,n_egg_malformed,n_morula_malformed,n_egg_uncertain,n_cleavage_uncertain,n_morula_uncertain,prop_earlygastrula_typical,prop_earlygastrula_uncertain,prop_earlygastrula_malformed,prop_egg_typical,prop_cleavage_typical,prop_morula_typical,prop_prawnchip_typical,prop_prawnchip_uncertain,prop_prawnchip_malformed,prop_cleavage_malformed,prop_egg_malformed,prop_morula_malformed,prop_egg_uncertain,prop_cleavage_uncertain,prop_morula_uncertain,hpf_factor
10C14,control,14,B,J,2024-06-07,23,20,2,1,0.8695652173913043,0.08695652173913043,0.043478260869565216,0,0,0,0,0,0,0,0,23,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0.043478260869565216,0.08695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,14
10C4,control,4,B,J,2024-06-07,29,29,0,0,1,0,0,9,0.3103448275862069,12,0.41379310344827586,8,0.27586206896551724,0,0,0,0,0,0,0,9,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0.3103448275862069,0.41379310344827586,0.27586206896551724,0,0,0,0,0,0,0,0,0,4
10C9,control,9,B,J,2024-06-07,19,14,3,2,0.7368421052631579,0.15789473684210525,0.10526315789473684,0,0,0,0,1,0.05263157894736842,18,0.9473684210526315,0,0,0,0,0,0,0,1,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.6842105263157895,0.10526315789473684,0.15789473684210525,0,0,0,0,0,0,9
10H14,high,14,B,J,2024-06-07,15,8,4,3,0.5333333333333333,0.26666666666666666,0.2,0,0,0,0,0,0,0,0,15,1,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5333333333333333,0.2,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,14
10H4,high,4,B,J,2024-06-07,21,20,1,0,0.9523809523809523,0.047619047619047616,0,10,0.47619047619047616,7,0.3333333333333333,4,0.19047619047619047,0,0,0,0,0,0,0,10,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0.47619047619047616,0.2857142857142857,0.19047619047619047,0,0,0,0.047619047619047616,0,0,0,0,0,4
10H9,high,9,B,J,2024-06-07,20,17,1,2,0.85,0.05,0.1,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.1,0.05,0,0,0,0,0,0,9
10L14,low,14,B,J,2024-06-07,15,13,2,0,0.8666666666666667,0.13333333333333333,0,1,0.06666666666666667,0,0,0,0,1,0.06666666666666667,13,0.8666666666666667,12,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.8,0,0.06666666666666667,0,0,0,0.06666666666666667,0,0,0,0.06666666666666667,0,0,0,0,14
10L4,low,4,B,J,2024-06-07,27,26,1,0,0.9629629629629629,0.037037037037037035,0,9,0.3333333333333333,8,0.2962962962962963,10,0.37037037037037035,0,0,0,0,0,0,0,9,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.25925925925925924,0.37037037037037035,0,0,0,0.037037037037037035,0,0,0,0,0,4
10L9,low,9,B,J,2024-06-07,28,18,3,7,0.6428571428571429,0.10714285714285714,0.25,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,18,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0.6428571428571429,0.25,0.10714285714285714,0,0,0,0,0,0,9
10M14,mid,14,B,J,2024-06-07,21,19,2,0,0.9047619047619048,0.09523809523809523,0,0,0,0,0,0,0,0,0,21,1,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.9047619047619048,0,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,14
10M4,mid,4,B,J,2024-06-07,31,30,1,0,0.967741935483871,0.03225806451612903,0,9,0.2903225806451613,11,0.3548387096774194,11,0.3548387096774194,0,0,0,0,0,0,0,9,10,11,0,0,0,1,0,0,0,0,0,0,0,0,0.2903225806451613,0.3225806451612903,0.3548387096774194,0,0,0,0.03225806451612903,0,0,0,0,0,4
10M9,mid,9,B,J,2024-06-07,15,13,2,0,0.8666666666666667,0.13333333333333333,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8666666666666667,0,0.13333333333333333,0,0,0,0,0,0,9
1C14,control,14,H,M,2024-05-07,10,10,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1C4,control,4,H,M,2024-05-07,23,22,1,0,0.9565217391304348,0.043478260869565216,0,15,0.6521739130434783,1,0.043478260869565216,7,0.30434782608695654,0,0,0,0,0,0,0,15,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0.6521739130434783,0.043478260869565216,0.2608695652173913,0,0,0,0,0,0.043478260869565216,0,0,0,4
1C9,control,9,H,M,2024-05-07,4,4,0,0,1,0,0,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,9
1H14,high,14,H,M,2024-05-07,9,9,0,0,1,0,0,0,0,0,0,0,0,1,0.1111111111111111,8,0.8888888888888888,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8888888888888888,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0,0,0,14
1H4,high,4,H,M,2024-05-07,25,25,0,0,1,0,0,13,0.52,4,0.16,8,0.32,0,0,0,0,0,0,0,13,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.16,0.32,0,0,0,0,0,0,0,0,0,4
1H9,high,9,H,M,2024-05-07,6,2,3,1,0.3333333333333333,0.5,0.16666666666666666,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0.5,0,0,0,0,0,0,9
1L14,low,14,H,M,2024-05-07,8,8,0,0,1,0,0,0,0,0,0,0,0,1,0.125,7,0.875,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,14
1L4,low,4,H,M,2024-05-07,21,18,0,3,0.8571428571428571,0,0.14285714285714285,10,0.47619047619047616,2,0.09523809523809523,9,0.42857142857142855,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,1,1,1,0,0,0,0.42857142857142855,0.047619047619047616,0.38095238095238093,0,0,0,0,0,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,4
1L9,low,9,H,M,2024-05-07,9,9,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
1M14,mid,14,H,M,2024-05-07,3,2,1,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,14
1M4,mid,4,H,M,2024-05-07,24,23,1,0,0.9583333333333334,0.041666666666666664,0,19,0.7916666666666666,2,0.08333333333333333,3,0.125,0,0,0,0,0,0,0,18,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0.08333333333333333,0.125,0,0,0,0,0.041666666666666664,0,0,0,0,4
1M9,mid,9,H,M,2024-05-07,12,8,3,1,0.6666666666666666,0.25,0.08333333333333333,0,0,0,0,1,0.08333333333333333,11,0.9166666666666666,0,0,0,0,0,0,0,1,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.25,0,0,0,0,0,0,9
3C14,control,14,D,N,2024-05-07,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3C4,control,4,D,N,2024-05-07,33,31,0,2,0.9393939393939394,0,0.06060606060606061,14,0.42424242424242425,2,0.06060606060606061,17,0.5151515151515151,0,0,0,0,0,0,0,13,1,17,0,0,0,0,0,0,1,1,0,0,0,0,0.3939393939393939,0.030303030303030304,0.5151515151515151,0,0,0,0,0,0,0.030303030303030304,0.030303030303030304,0,4
3C9,control,9,D,N,2024-05-07,13,11,0,2,0.8461538461538461,0,0.15384615384615385,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8461538461538461,0.15384615384615385,0,0,0,0,0,0,0,9
3H14,high,14,D,N,2024-05-07,2,1,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3H4,high,4,D,N,2024-05-07,30,30,0,0,1,0,0,18,0.6,2,0.06666666666666667,10,0.3333333333333333,0,0,0,0,0,0,0,18,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.06666666666666667,0.3333333333333333,0,0,0,0,0,0,0,0,0,4
3H9,high,9,D,N,2024-05-07,9,9,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
3L14,low,14,D,N,2024-05-07,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3L4,low,4,D,N,2024-05-07,20,20,0,0,1,0,0,13,0.65,3,0.15,4,0.2,0,0,0,0,0,0,0,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.15,0.2,0,0,0,0,0,0,0,0,0,4
3L9,low,9,D,N,2024-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3M14,mid,14,D,N,2024-05-07,15,12,2,1,0.8,0.13333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,15,1,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.06666666666666667,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,14
3M4,mid,4,D,N,2024-05-07,28,27,0,1,0.9642857142857143,0,0.03571428571428571,13,0.4642857142857143,7,0.25,8,0.2857142857142857,0,0,0,0,0,0,0,12,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0.42857142857142855,0.25,0.2857142857142857,0,0,0,0,0,0,0.03571428571428571,0,0,4
3M9,mid,9,D,N,2024-05-07,4,3,0,1,0.75,0,0.25,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,9
4C14,control,14,M,B,2024-05-07,10,8,1,1,0.8,0.1,0.1,0,0,0,0,0,0,6,0.6,4,0.4,3,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0.3,0,0.1,0,0,0,0.5,0.1,0,0,0,0,0,0,0,14
4C4,control,4,M,B,2024-05-07,30,25,3,2,0.8333333333333334,0.1,0.06666666666666667,16,0.5333333333333333,5,0.16666666666666666,9,0.3,0,0,0,0,0,0,0,14,4,7,0,0,0,0,2,1,0,1,1,0,0,0,0.4666666666666667,0.13333333333333333,0.23333333333333334,0,0,0,0,0.06666666666666667,0.03333333333333333,0,0.03333333333333333,0.03333333333333333,4
4C9,control,9,M,B,2024-05-07,17,13,1,3,0.7647058823529411,0.058823529411764705,0.17647058823529413,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7647058823529411,0.17647058823529413,0.058823529411764705,0,0,0,0,0,0,9
4H14,high,14,M,B,2024-05-07,10,6,0,4,0.6,0,0.4,1,0.1,0,0,0,0,1,0.1,8,0.8,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0.3,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,14
4H4,high,4,M,B,2024-05-07,25,25,0,0,1,0,0,13,0.52,4,0.16,8,0.32,0,0,0,0,0,0,0,13,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.16,0.32,0,0,0,0,0,0,0,0,0,4
4H9,high,9,M,B,2024-05-07,4,3,0,1,0.75,0,0.25,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,9
4L14,low,14,M,B,2024-05-07,15,13,0,2,0.8666666666666667,0,0.13333333333333333,0,0,0,0,0,0,0,0,15,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8666666666666667,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,14
4L4,low,4,M,B,2024-05-07,34,33,1,0,0.9705882352941176,0.029411764705882353,0,17,0.5,8,0.23529411764705882,9,0.2647058823529412,0,0,0,0,0,0,0,17,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.20588235294117646,0.2647058823529412,0,0,0,0.029411764705882353,0,0,0,0,0,4
4L9,low,9,M,B,2024-05-07,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333,0,0,0,0,1,0.16666666666666666,5,0.8333333333333334,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0.16666666666666666,9
4M14,mid,14,M,B,2024-05-07,15,14,0,1,0.9333333333333333,0,0.06666666666666667,0,0,0,0,0,0,0,0,15,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,14
4M4,mid,4,M,B,2024-05-07,27,27,0,0,1,0,0,17,0.6296296296296297,2,0.07407407407407407,8,0.2962962962962963,0,0,0,0,0,0,0,17,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0.6296296296296297,0.07407407407407407,0.2962962962962963,0,0,0,0,0,0,0,0,0,4
4M9,mid,9,M,B,2024-05-07,10,8,0,2,0.8,0,0.2,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,9
5C14,control,14,1-White,J/N,2024-05-07,10,7,0,3,0.7,0,0.3,0,0,0,0,0,0,2,0.2,8,0.8,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,14
5C4,control,4,1-White,M,2024-05-07,26,26,0,0,1,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
5C9,control,9,1-White,M,2024-05-07,2,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
5H14,high,14,1-White,J/N,2024-05-07,3,1,0,2,0.3333333333333333,0,0.6666666666666666,0,0,0,0,0,0,2,0.6666666666666666,1,0.3333333333333333,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,14
