sample_id,treatment,hpf,date,status,n
10C14,control,14,2024-06-07,typical,20
10C14,control,14,2024-06-07,uncertain,1
10C14,control,14,2024-06-07,malformed,2
10C4,control,4,2024-06-07,typical,29
10C4,control,4,2024-06-07,uncertain,0
10C4,control,4,2024-06-07,malformed,0
10C9,control,9,2024-06-07,typical,14
10C9,control,9,2024-06-07,uncertain,2
10C9,control,9,2024-06-07,malformed,3
10H14,high,14,2024-06-07,typical,8
10H14,high,14,2024-06-07,uncertain,3
10H14,high,14,2024-06-07,malformed,4
10H4,high,4,2024-06-07,typical,20
10H4,high,4,2024-06-07,uncertain,0
10H4,high,4,2024-06-07,malformed,1
10H9,high,9,2024-06-07,typical,17
10H9,high,9,2024-06-07,uncertain,2
10H9,high,9,2024-06-07,malformed,1
10L14,low,14,2024-06-07,typical,13
10L14,low,14,2024-06-07,uncertain,0
10L14,low,14,2024-06-07,malformed,2
10L4,low,4,2024-06-07,typical,26
10L4,low,4,2024-06-07,uncertain,0
10L4,low,4,2024-06-07,malformed,1
10L9,low,9,2024-06-07,typical,18
10L9,low,9,2024-06-07,uncertain,7
10L9,low,9,2024-06-07,malformed,3
10M14,mid,14,2024-06-07,typical,19
10M14,mid,14,2024-06-07,uncertain,0
10M14,mid,14,2024-06-07,malformed,2
10M4,mid,4,2024-06-07,typical,30
10M4,mid,4,2024-06-07,uncertain,0
10M4,mid,4,2024-06-07,malformed,1
10M9,mid,9,2024-06-07,typical,13
10M9,mid,9,2024-06-07,uncertain,0
10M9,mid,9,2024-06-07,malformed,2
1C14,control,14,2024-05-07,typical,10
1C14,control,14,2024-05-07,uncertain,0
1C14,control,14,2024-05-07,malformed,0
1C4,control,4,2024-05-07,typical,22
1C4,control,4,2024-05-07,uncertain,0
1C4,control,4,2024-05-07,malformed,1
1C9,control,9,2024-05-07,typical,4
1C9,control,9,2024-05-07,uncertain,0
1C9,control,9,2024-05-07,malformed,0
1H14,high,14,2024-05-07,typical,9
1H14,high,14,2024-05-07,uncertain,0
1H14,high,14,2024-05-07,malformed,0
1H4,high,4,2024-05-07,typical,25
1H4,high,4,2024-05-07,uncertain,0
1H4,high,4,2024-05-07,malformed,0
1H9,high,9,2024-05-07,typical,2
1H9,high,9,2024-05-07,uncertain,1
1H9,high,9,2024-05-07,malformed,3
1L14,low,14,2024-05-07,typical,8
1L14,low,14,2024-05-07,uncertain,0
1L14,low,14,2024-05-07,malformed,0
1L4,low,4,2024-05-07,typical,18
1L4,low,4,2024-05-07,uncertain,3
1L4,low,4,2024-05-07,malformed,0
1L9,low,9,2024-05-07,typical,9
1L9,low,9,2024-05-07,uncertain,0
1L9,low,9,2024-05-07,malformed,0
1M14,mid,14,2024-05-07,typical,2
1M14,mid,14,2024-05-07,uncertain,0
1M14,mid,14,2024-05-07,malformed,1
1M4,mid,4,2024-05-07,typical,23
1M4,mid,4,2024-05-07,uncertain,0
1M4,mid,4,2024-05-07,malformed,1
1M9,mid,9,2024-05-07,typical,8
1M9,mid,9,2024-05-07,uncertain,1
1M9,mid,9,2024-05-07,malformed,3
3C14,control,14,2024-05-07,typical,7
3C14,control,14,2024-05-07,uncertain,0
3C14,control,14,2024-05-07,malformed,0
3C4,control,4,2024-05-07,typical,31
3C4,control,4,2024-05-07,uncertain,2
3C4,control,4,2024-05-07,malformed,0
3C9,control,9,2024-05-07,typical,11
3C9,control,9,2024-05-07,uncertain,2
3C9,control,9,2024-05-07,malformed,0
3H14,high,14,2024-05-07,typical,1
3H14,high,14,2024-05-07,uncertain,1
3H14,high,14,2024-05-07,malformed,0
3H4,high,4,2024-05-07,typical,30
3H4,high,4,2024-05-07,uncertain,0
3H4,high,4,2024-05-07,malformed,0
3H9,high,9,2024-05-07,typical,9
3H9,high,9,2024-05-07,uncertain,0
3H9,high,9,2024-05-07,malformed,0
3L14,low,14,2024-05-07,typical,3
3L14,low,14,2024-05-07,uncertain,0
3L14,low,14,2024-05-07,malformed,0
3L4,low,4,2024-05-07,typical,20
3L4,low,4,2024-05-07,uncertain,0
3L4,low,4,2024-05-07,malformed,0
3L9,low,9,2024-05-07,typical,0
3L9,low,9,2024-05-07,uncertain,0
3L9,low,9,2024-05-07,malformed,0
3M14,mid,14,2024-05-07,typical,12
3M14,mid,14,2024-05-07,uncertain,1
3M14,mid,14,2024-05-07,malformed,2
3M4,mid,4,2024-05-07,typical,27
3M4,mid,4,2024-05-07,uncertain,1
3M4,mid,4,2024-05-07,malformed,0
3M9,mid,9,2024-05-07,typical,3
3M9,mid,9,2024-05-07,uncertain,1
3M9,mid,9,2024-05-07,malformed,0
4C14,control,14,2024-05-07,typical,8
4C14,control,14,2024-05-07,uncertain,1
4C14,control,14,2024-05-07,malformed,1
4C4,control,4,2024-05-07,typical,25
4C4,control,4,2024-05-07,uncertain,2
4C4,control,4,2024-05-07,malformed,3
4C9,control,9,2024-05-07,typical,13
4C9,control,9,2024-05-07,uncertain,3
4C9,control,9,2024-05-07,malformed,1
4H14,high,14,2024-05-07,typical,6
4H14,high,14,2024-05-07,uncertain,4
4H14,high,14,2024-05-07,malformed,0
4H4,high,4,2024-05-07,typical,25
4H4,high,4,2024-05-07,uncertain,0
4H4,high,4,2024-05-07,malformed,0
4H9,high,9,2024-05-07,typical,3
4H9,high,9,2024-05-07,uncertain,1
4H9,high,9,2024-05-07,malformed,0
4L14,low,14,2024-05-07,typical,13
4L14,low,14,2024-05-07,uncertain,2
4L14,low,14,2024-05-07,malformed,0
4L4,low,4,2024-05-07,typical,33
4L4,low,4,2024-05-07,uncertain,0
4L4,low,4,2024-05-07,malformed,1
4L9,low,9,2024-05-07,typical,3
4L9,low,9,2024-05-07,uncertain,2
4L9,low,9,2024-05-07,malformed,1
4M14,mid,14,2024-05-07,typical,14
4M14,mid,14,2024-05-07,uncertain,1
4M14,mid,14,2024-05-07,malformed,0
4M4,mid,4,2024-05-07,typical,27
4M4,mid,4,2024-05-07,uncertain,0
4M4,mid,4,2024-05-07,malformed,0
4M9,mid,9,2024-05-07,typical,8
4M9,mid,9,2024-05-07,uncertain,2
4M9,mid,9,2024-05-07,malformed,0
5C14,control,14,2024-05-07,typical,7
5C14,control,14,2024-05-07,uncertain,3
5C14,control,14,2024-05-07,malformed,0
5C4,control,4,2024-05-07,typical,26
5C4,control,4,2024-05-07,uncertain,0
5C4,control,4,2024-05-07,malformed,0
5C9,control,9,2024-05-07,typical,2
5C9,control,9,2024-05-07,uncertain,0
5C9,control,9,2024-05-07,malformed,0
5H14,high,14,2024-05-07,typical,1
5H14,high,14,2024-05-07,uncertain,2
5H14,high,14,2024-05-07,malformed,0
5H4,high,4,2024-05-07,typical,26
5H4,high,4,2024-05-07,uncertain,0
5H4,high,4,2024-05-07,malformed,0
5H9,high,9,2024-05-07,typical,11
5H9,high,9,2024-05-07,uncertain,3
5H9,high,9,2024-05-07,malformed,1
5L14,low,14,2024-05-07,typical,12
5L14,low,14,2024-05-07,uncertain,5
5L14,low,14,2024-05-07,malformed,0
5L4,low,4,2024-05-07,typical,30
5L4,low,4,2024-05-07,uncertain,0
5L4,low,4,2024-05-07,malformed,0
5L9,low,9,2024-05-07,typical,9
5L9,low,9,2024-05-07,uncertain,4
5L9,low,9,2024-05-07,malformed,1
5M14,mid,14,2024-05-07,typical,12
5M14,mid,14,2024-05-07,uncertain,2
5M14,mid,14,2024-05-07,malformed,0
5M4,mid,4,2024-05-07,typical,26
5M4,mid,4,2024-05-07,uncertain,0
5M4,mid,4,2024-05-07,malformed,0
5M9,mid,9,2024-05-07,typical,10
5M9,mid,9,2024-05-07,uncertain,2
5M9,mid,9,2024-05-07,malformed,3
6C14,control,14,2024-06-07,typical,16
6C14,control,14,2024-06-07,uncertain,1
6C14,control,14,2024-06-07,malformed,0
6C4,control,4,2024-06-07,typical,32
6C4,control,4,2024-06-07,uncertain,0
6C4,control,4,2024-06-07,malformed,0
6C9,control,9,2024-06-07,typical,10
6C9,control,9,2024-06-07,uncertain,4
6C9,control,9,2024-06-07,malformed,0
6H14,high,14,2024-06-07,typical,11
6H14,high,14,2024-06-07,uncertain,1
6H14,high,14,2024-06-07,malformed,2
6H4,high,4,2024-06-07,typical,27
6H4,high,4,2024-06-07,uncertain,0
6H4,high,4,2024-06-07,malformed,0
6H9,high,9,2024-06-07,typical,15
6H9,high,9,2024-06-07,uncertain,8
6H9,high,9,2024-06-07,malformed,0
6L14,low,14,2024-06-07,typical,15
6L14,low,14,2024-06-07,uncertain,1
6L14,low,14,2024-06-07,malformed,0
6L4,low,4,2024-06-07,typical,33
6L4,low,4,2024-06-07,uncertain,1
6L4,low,4,2024-06-07,malformed,0
6L9,low,9,2024-06-07,typical,20
6L9,low,9,2024-06-07,uncertain,0
6L9,low,9,2024-06-07,malformed,0
6M14,mid,14,2024-06-07,typical,7
6M14,mid,14,2024-06-07,uncertain,0
6M14,mid,14,2024-06-07,malformed,2
6M4,mid,4,2024-06-07,typical,15
6M4,mid,4,2024-06-07,uncertain,2
6M4,mid,4,2024-06-07,malformed,0
6M9,mid,9,2024-06-07,typical,22
6M9,mid,9,2024-06-07,uncertain,6
6M9,mid,9,2024-06-07,malformed,0
7C14,control,14,2024-06-07,typical,4
7C14,control,14,2024-06-07,uncertain,1
7C14,control,14,2024-06-07,malformed,2
7C4,control,4,2024-06-07,typical,25
7C4,control,4,2024-06-07,uncertain,0
7C4,control,4,2024-06-07,malformed,0
7C9,control,9,2024-06-07,typical,7
7C9,control,9,2024-06-07,uncertain,6
7C9,control,9,2024-06-07,malformed,0
7H14,high,14,2024-06-07,typical,9
7H14,high,14,2024-06-07,uncertain,1
7H14,high,14,2024-06-07,malformed,0
7H4,high,4,2024-06-07,typical,31
7H4,high,4,2024-06-07,uncertain,0
7H4,high,4,2024-06-07,malformed,0
7H9,high,9,2024-06-07,typical,0
7H9,high,9,2024-06-07,uncertain,0
7H9,high,9,2024-06-07,malformed,0
7L14,low,14,2024-06-07,typical,11
7L14,low,14,2024-06-07,uncertain,4
7L14,low,14,2024-06-07,malformed,0
7L4,low,4,2024-06-07,typical,26
7L4,low,4,2024-06-07,uncertain,0
7L4,low,4,2024-06-07,malformed,0
7L9,low,9,2024-06-07,typical,4
7L9,low,9,2024-06-07,uncertain,1
7L9,low,9,2024-06-07,malformed,0
7M14,mid,14,2024-06-07,typical,9
7M14,mid,14,2024-06-07,uncertain,2
7M14,mid,14,2024-06-07,malformed,1
7M4,mid,4,2024-06-07,typical,29
7M4,mid,4,2024-06-07,uncertain,0
7M4,mid,4,2024-06-07,malformed,0
7M9,mid,9,2024-06-07,typical,10
7M9,mid,9,2024-06-07,uncertain,1
7M9,mid,9,2024-06-07,malformed,1
8C14,control,14,2024-06-07,typical,6
8C14,control,14,2024-06-07,uncertain,0
8C14,control,14,2024-06-07,malformed,0
8C4,control,4,2024-06-07,typical,27
8C4,control,4,2024-06-07,uncertain,0
8C4,control,4,2024-06-07,malformed,0
8C9,control,9,2024-06-07,typical,23
8C9,control,9,2024-06-07,uncertain,4
8C9,control,9,2024-06-07,malformed,0
8H14,high,14,2024-06-07,typical,14
8H14,high,14,2024-06-07,uncertain,1
8H14,high,14,2024-06-07,malformed,0
8H4,high,4,2024-06-07,typical,23
8H4,high,4,2024-06-07,uncertain,1
8H4,high,4,2024-06-07,malformed,1
8H9,high,9,2024-06-07,typical,19
8H9,high,9,2024-06-07,uncertain,4
8H9,high,9,2024-06-07,malformed,0
8L14,low,14,2024-06-07,typical,17
8L14,low,14,2024-06-07,uncertain,0
8L14,low,14,2024-06-07,malformed,4
8L4,low,4,2024-06-07,typical,30
8L4,low,4,2024-06-07,uncertain,0
8L4,low,4,2024-06-07,malformed,0
8L9,low,9,2024-06-07,typical,20
8L9,low,9,2024-06-07,uncertain,4
8L9,low,9,2024-06-07,malformed,2
8M14,mid,14,2024-06-07,typical,22
8M14,mid,14,2024-06-07,uncertain,0
8M14,mid,14,2024-06-07,malformed,4
8M4,mid,4,2024-06-07,typical,15
8M4,mid,4,2024-06-07,uncertain,0
8M4,mid,4,2024-06-07,malformed,6
8M9,mid,9,2024-06-07,typical,20
8M9,mid,9,2024-06-07,uncertain,3
8M9,mid,9,2024-06-07,malformed,3
9C14,control,14,2024-06-07,typical,17
9C14,control,14,2024-06-07,uncertain,0
9C14,control,14,2024-06-07,malformed,2
9C4,control,4,2024-06-07,typical,20
9C4,control,4,2024-06-07,uncertain,2
9C4,control,4,2024-06-07,malformed,0
9C9,control,9,2024-06-07,typical,15
9C9,control,9,2024-06-07,uncertain,0
9C9,control,9,2024-06-07,malformed,4
9H14,high,14,2024-06-07,typical,13
9H14,high,14,2024-06-07,uncertain,2
9H14,high,14,2024-06-07,malformed,0
9H4,high,4,2024-06-07,typical,26
9H4,high,4,2024-06-07,uncertain,0
9H4,high,4,2024-06-07,malformed,0
9H9,high,9,2024-06-07,typical,18
9H9,high,9,2024-06-07,uncertain,3
9H9,high,9,2024-06-07,malformed,0
9L14,low,14,2024-06-07,typical,11
9L14,low,14,2024-06-07,uncertain,0
9L14,low,14,2024-06-07,malformed,0
9L4,low,4,2024-06-07,typical,24
9L4,low,4,2024-06-07,uncertain,2
9L4,low,4,2024-06-07,malformed,6
9L9,low,9,2024-06-07,typical,10
9L9,low,9,2024-06-07,uncertain,2
9L9,low,9,2024-06-07,malformed,4
9M14,mid,14,2024-06-07,typical,24
9M14,mid,14,2024-06-07,uncertain,1
9M14,mid,14,2024-06-07,malformed,0
9M4,mid,4,2024-06-07,typical,21
9M4,mid,4,2024-06-07,uncertain,0
9M4,mid,4,2024-06-07,malformed,0
9M9,mid,9,2024-06-07,typical,11
9M9,mid,9,2024-06-07,uncertain,2
9M9,mid,9,2024-06-07,malformed,2
